timestamp,open,high,low,close,volume,funding_rate,volume_24h_usd
2024-07-25 00:00:00,3335.421875,3341.01318359375,3157.896484375,3170.0556640625,3959952384,0.00099902,12553269484317.0
2024-07-25 04:00:00,3168.595458984375,3192.5390625,3144.428955078125,3172.4365234375,1730977792,0.00099902,5491417168600.0
2024-07-25 08:00:00,3164.93115234375,3185.0615234375,3155.486083984375,3174.25634765625,1110804480,0.00099902,3525978171645.0
2024-07-25 12:00:00,3172.68798828125,3182.661865234375,3116.037109375,3137.384521484375,1688395776,0.00099902,5297146773762.0
2024-07-25 16:00:00,3140.826416015625,3170.429931640625,3104.00390625,3121.8935546875,721684480,0.00099902,2253022126630.0
2024-07-25 20:00:00,3122.995849609375,3192.254150390625,3091.99462890625,3174.051025390625,671653888,0.00099902,2131863711914.0
2024-07-26 00:00:00,3174.492919921875,3259.14208984375,3173.1455078125,3236.171630859375,219432960,0.00099902,710122720027.5
2024-07-26 04:00:00,3236.302978515625,3275.208251953125,3235.205322265625,3249.0439453125,4986880,0.00099902,16202592270.0
2024-07-26 08:00:00,3250.836669921875,3262.86962890625,3236.75,3247.623291015625,16050176,0.00099902,52124925402.5
2024-07-26 12:00:00,3246.572021484375,3268.060791015625,3224.084228515625,3254.227783203125,0,0.00099902,0.0
2024-07-26 16:00:00,3255.122314453125,3283.943115234375,3243.994140625,3272.042724609375,0,0.00099902,0.0
2024-07-26 20:00:00,3274.6318359375,3285.023193359375,3253.348876953125,3275.8916015625,0,0.00099902,0.0
2024-07-27 00:00:00,3275.695068359375,3275.695068359375,3245.12841796875,3246.086669921875,0,0.00099902,0.0
2024-07-27 04:00:00,3245.940673828125,3276.806640625,3245.61181640625,3272.85986328125,0,0.00099902,0.0
2024-07-27 08:00:00,3273.435791015625,3281.548583984375,3264.84521484375,3280.02783203125,0,0.00099902,0.0
2024-07-27 12:00:00,3279.761962890625,3327.065185546875,3274.5224609375,3281.04345703125,316174336,0.00099902,1037381736414.0
2024-07-27 16:00:00,3281.431396484375,3290.29736328125,3234.46533203125,3258.233154296875,574850048,0.00099902,1872995485142.75
2024-07-27 20:00:00,3262.079833984375,3293.783203125,3199.677490234375,3248.000732421875,2672492544,0.00099902,8680257740304.0
2024-07-28 00:00:00,3249.091796875,3256.232177734375,3228.723388671875,3239.7529296875,191084544,0.00099902,619066711242.0
2024-07-28 04:00:00,3238.04296875,3243.6884765625,3201.76318359375,3227.4619140625,438821888,0.00099902,1416280930577.0
2024-07-28 08:00:00,3227.3330078125,3264.90576171875,3218.1005859375,3257.50634765625,98946048,0.00099902,322317379435.5
2024-07-28 12:00:00,3256.848876953125,3279.041748046875,3255.95263671875,3269.167724609375,0,0.00099902,0.0
2024-07-28 16:00:00,3268.998046875,3281.1318359375,3263.4453125,3272.5166015625,0,0.00099902,0.0
2024-07-28 20:00:00,3272.353759765625,3273.770751953125,3252.279541015625,3271.464599609375,0,0.00099902,0.0
2024-07-29 00:00:00,3270.6513671875,3353.733642578125,3267.76220703125,3348.62841796875,1561689088,0.00099902,5229516460108.5
2024-07-29 04:00:00,3348.56689453125,3384.910888671875,3340.304443359375,3366.93408203125,1007370240,0.00099902,3391749194280.0
2024-07-29 08:00:00,3367.227294921875,3396.0166015625,3364.5,3376.5009765625,756328448,0.00099902,2553743743274.0
2024-07-29 12:00:00,3375.4951171875,3386.01708984375,3290.3984375,3308.949951171875,2241002496,0.00099902,7415365099715.25
