symbol,side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct_gross,pnl_pct_net
ETH/USDT,SHORT,2026-02-07 08:00:00+00:00,2018.81,2026-02-09 00:00:00+00:00,2100.25,SIGNAL_FLIP,-4.034,-4.334
ETH/USDT,SHORT,2026-02-11 04:00:00+00:00,1952.22,2026-02-13 16:00:00+00:00,2059.945714285714,STOP_LOSS,-5.518,-5.818
ETH/USDT,SHORT,2026-02-17 00:00:00+00:00,1986.14,2026-02-19 04:00:00+00:00,1980.98,SIGNAL_FLIP,0.26,-0.04
ETH/USDT,SHORT,2026-02-19 08:00:00+00:00,1949.75,2026-02-20 00:00:00+00:00,1954.61,SIGNAL_FLIP,-0.249,-0.549
ETH/USDT,SHORT,2026-02-23 12:00:00+00:00,1895.73,2026-02-25 12:00:00+00:00,1957.6642857142856,STOP_LOSS,-3.267,-3.567
ETH/USDT,SHORT,2026-03-01 04:00:00+00:00,2006.8,2026-03-03 04:00:00+00:00,1996.17,SIGNAL_FLIP,0.53,0.23
ETH/USDT,SHORT,2026-03-08 00:00:00+00:00,1948.0,2026-03-09 04:00:00+00:00,2012.0757142857142,STOP_LOSS,-3.289,-3.589
ETH/USDT,SHORT,2026-03-09 04:00:00+00:00,1983.6,2026-03-09 16:00:00+00:00,2051.965714285714,STOP_LOSS,-3.447,-3.747
ETH/USDT,SHORT,2026-03-09 16:00:00+00:00,2033.31,2026-03-10 00:00:00+00:00,2027.14,SIGNAL_FLIP,0.303,0.003
ETH/USDT,SHORT,2026-03-19 08:00:00+00:00,2167.01,2026-03-23 08:00:00+00:00,2134.94,SIGNAL_FLIP,1.48,1.18
ETH/USDT,SHORT,2026-03-23 12:00:00+00:00,2128.68,2026-03-24 08:00:00+00:00,2165.42,SIGNAL_FLIP,-1.726,-2.026
ETH/USDT,SHORT,2026-03-24 12:00:00+00:00,2134.8,2026-03-25 08:00:00+00:00,2186.2,SIGNAL_FLIP,-2.408,-2.708
ETH/USDT,SHORT,2026-03-26 20:00:00+00:00,2060.29,2026-03-30 00:00:00+00:00,2036.24,SIGNAL_FLIP,1.167,0.867
ETH/USDT,SHORT,2026-04-03 00:00:00+00:00,2054.15,2026-04-03 04:00:00+00:00,2065.51,SIGNAL_FLIP,-0.553,-0.853
ETH/USDT,SHORT,2026-04-03 12:00:00+00:00,2051.4,2026-04-04 00:00:00+00:00,2050.08,SIGNAL_FLIP,0.064,-0.236
ETH/USDT,SHORT,2026-04-04 04:00:00+00:00,2053.64,2026-04-05 12:00:00+00:00,2053.62,SIGNAL_FLIP,0.001,-0.299
ETH/USDT,SHORT,2026-04-12 00:00:00+00:00,2213.8,2026-04-12 04:00:00+00:00,2218.35,SIGNAL_FLIP,-0.206,-0.506
ETH/USDT,SHORT,2026-04-13 00:00:00+00:00,2194.19,2026-04-13 16:00:00+00:00,2254.8957142857143,STOP_LOSS,-2.767,-3.067
ETH/USDT,SHORT,2026-04-20 00:00:00+00:00,2286.84,2026-04-20 16:00:00+00:00,2331.73,SIGNAL_FLIP,-1.963,-2.263
ETH/USDT,SHORT,2026-04-21 00:00:00+00:00,2311.51,2026-04-22 00:00:00+00:00,2363.38,SIGNAL_FLIP,-2.244,-2.544
ETH/USDT,SHORT,2026-04-25 12:00:00+00:00,2308.92,2026-04-26 08:00:00+00:00,2336.17,SIGNAL_FLIP,-1.18,-1.48
ETH/USDT,SHORT,2026-04-28 08:00:00+00:00,2274.0,2026-04-28 12:00:00+00:00,2278.05,SIGNAL_FLIP,-0.178,-0.478
ETH/USDT,SHORT,2026-04-29 16:00:00+00:00,2232.8,2026-05-01 00:00:00+00:00,2282.14,SIGNAL_FLIP,-2.21,-2.51
ETH/USDT,SHORT,2026-05-01 04:00:00+00:00,2279.02,2026-05-01 12:00:00+00:00,2307.85,SIGNAL_FLIP,-1.265,-1.565
ETH/USDT,SHORT,2026-05-07 12:00:00+00:00,2294.91,2026-05-10 00:00:00+00:00,2328.14,SIGNAL_FLIP,-1.448,-1.748
ETH/USDT,SHORT,2026-05-13 08:00:00+00:00,2301.43,2026-05-15 12:00:00+00:00,2213.0814285714287,TAKE_PROFIT,3.839,3.539
ETH/USDT,SHORT,2026-05-15 12:00:00+00:00,2222.51,2026-05-17 20:00:00+00:00,2094.3900000000003,TAKE_PROFIT,5.765,5.465
ETH/USDT,SHORT,2026-05-17 20:00:00+00:00,2131.07,2026-05-19 00:00:00+00:00,2130.76,SIGNAL_FLIP,0.015,-0.285
