symbol,side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct_gross,pnl_pct_net
SOL/USDT,LONG,2024-07-24 12:00:00+00:00,178.39263916015625,2024-07-25 00:00:00+00:00,170.00227573939733,STOP_LOSS,-4.703,-5.003
SOL/USDT,LONG,2024-07-28 12:00:00+00:00,184.10340881347656,2024-07-30 16:00:00+00:00,176.9350869315011,STOP_LOSS,-3.894,-4.194
SOL/USDT,LONG,2024-07-31 04:00:00+00:00,183.16339111328125,2024-07-31 16:00:00+00:00,176.29031372070312,SIGNAL_FLIP,-3.752,-4.052
SOL/USDT,SHORT,2024-08-04 12:00:00+00:00,135.11056518554688,2024-08-05 04:00:00+00:00,112.6985866001674,TAKE_PROFIT,16.588,16.288
SOL/USDT,SHORT,2024-08-05 04:00:00+00:00,122.85894775390625,2024-08-05 12:00:00+00:00,130.45440673828125,SIGNAL_FLIP,-6.182,-6.482
SOL/USDT,LONG,2024-08-07 00:00:00+00:00,151.49620056152344,2024-08-11 20:00:00+00:00,141.53207397460938,SIGNAL_FLIP,-6.577,-6.877
SOL/USDT,LONG,2024-08-15 08:00:00+00:00,143.0987548828125,2024-08-15 16:00:00+00:00,140.14202880859375,SIGNAL_FLIP,-2.066,-2.366
SOL/USDT,SHORT,2024-08-16 12:00:00+00:00,137.91966247558594,2024-08-18 12:00:00+00:00,145.89193071637834,STOP_LOSS,-5.78,-6.08
SOL/USDT,LONG,2024-08-19 04:00:00+00:00,142.4166717529297,2024-08-21 20:00:00+00:00,142.60345458984375,SIGNAL_FLIP,0.131,-0.169
SOL/USDT,LONG,2024-08-23 16:00:00+00:00,149.7637939453125,2024-08-24 12:00:00+00:00,159.36188616071428,TAKE_PROFIT,6.409,6.109
SOL/USDT,LONG,2024-08-24 12:00:00+00:00,159.17755126953125,2024-08-27 08:00:00+00:00,154.00238691057478,STOP_LOSS,-3.251,-3.551
SOL/USDT,SHORT,2024-08-29 16:00:00+00:00,140.14637756347656,2024-09-03 00:00:00+00:00,135.56585693359375,SIGNAL_FLIP,3.268,2.968
SOL/USDT,SHORT,2024-09-03 20:00:00+00:00,127.61067199707031,2024-09-04 00:00:00+00:00,127.66365814208984,SIGNAL_FLIP,-0.042,-0.342
SOL/USDT,SHORT,2024-09-06 16:00:00+00:00,125.2879409790039,2024-09-06 20:00:00+00:00,124.98406219482422,SIGNAL_FLIP,0.243,-0.057
