symbol,side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct_gross,pnl_pct_net
BNB/USDT,SHORT,2026-02-07 08:00:00+00:00,635.75,2026-02-09 08:00:00+00:00,621.73,SIGNAL_FLIP,2.205,1.905
BNB/USDT,SHORT,2026-02-10 04:00:00+00:00,631.83,2026-02-14 04:00:00+00:00,622.15,SIGNAL_FLIP,1.532,1.232
BNB/USDT,SHORT,2026-02-17 20:00:00+00:00,617.73,2026-02-20 00:00:00+00:00,607.73,SIGNAL_FLIP,1.619,1.319
BNB/USDT,SHORT,2026-02-20 08:00:00+00:00,608.42,2026-02-20 12:00:00+00:00,616.67,SIGNAL_FLIP,-1.356,-1.656
BNB/USDT,SHORT,2026-02-23 00:00:00+00:00,590.15,2026-02-23 08:00:00+00:00,604.8728571428571,STOP_LOSS,-2.495,-2.795
BNB/USDT,SHORT,2026-02-23 08:00:00+00:00,606.52,2026-02-25 12:00:00+00:00,621.37,SIGNAL_FLIP,-2.448,-2.748
BNB/USDT,SHORT,2026-03-01 04:00:00+00:00,625.21,2026-03-01 16:00:00+00:00,619.74,SIGNAL_FLIP,0.875,0.575
BNB/USDT,SHORT,2026-03-07 20:00:00+00:00,620.24,2026-03-09 12:00:00+00:00,633.5642857142857,STOP_LOSS,-2.148,-2.448
BNB/USDT,SHORT,2026-03-09 12:00:00+00:00,639.33,2026-03-10 00:00:00+00:00,639.8,SIGNAL_FLIP,-0.074,-0.374
BNB/USDT,SHORT,2026-03-18 12:00:00+00:00,648.57,2026-03-22 00:00:00+00:00,634.64,SIGNAL_FLIP,2.148,1.848
BNB/USDT,SHORT,2026-03-22 04:00:00+00:00,631.99,2026-03-23 08:00:00+00:00,644.5371428571428,STOP_LOSS,-1.985,-2.285
BNB/USDT,SHORT,2026-03-23 08:00:00+00:00,638.27,2026-03-27 00:00:00+00:00,628.44,SIGNAL_FLIP,1.54,1.24
BNB/USDT,SHORT,2026-03-27 08:00:00+00:00,611.17,2026-03-29 08:00:00+00:00,613.86,SIGNAL_FLIP,-0.44,-0.74
BNB/USDT,SHORT,2026-04-01 04:00:00+00:00,616.28,2026-04-02 08:00:00+00:00,583.3628571428571,TAKE_PROFIT,5.341,5.041
BNB/USDT,SHORT,2026-04-02 08:00:00+00:00,581.28,2026-04-05 12:00:00+00:00,592.94,SIGNAL_FLIP,-2.006,-2.306
BNB/USDT,SHORT,2026-04-11 08:00:00+00:00,605.14,2026-04-11 12:00:00+00:00,605.72,SIGNAL_FLIP,-0.096,-0.396
BNB/USDT,SHORT,2026-04-21 00:00:00+00:00,629.89,2026-04-22 00:00:00+00:00,639.64,SIGNAL_FLIP,-1.548,-1.848
BNB/USDT,SHORT,2026-04-28 00:00:00+00:00,624.53,2026-04-29 00:00:00+00:00,625.89,SIGNAL_FLIP,-0.218,-0.518
BNB/USDT,SHORT,2026-04-29 12:00:00+00:00,616.27,2026-05-01 00:00:00+00:00,618.53,SIGNAL_FLIP,-0.367,-0.667
BNB/USDT,SHORT,2026-05-01 04:00:00+00:00,617.42,2026-05-01 12:00:00+00:00,620.92,SIGNAL_FLIP,-0.567,-0.867
BNB/USDT,SHORT,2026-05-16 04:00:00+00:00,660.22,2026-05-18 08:00:00+00:00,641.69,SIGNAL_FLIP,2.807,2.507
BNB/USDT,SHORT,2026-05-18 12:00:00+00:00,636.98,2026-05-18 16:00:00+00:00,644.46,SIGNAL_FLIP,-1.174,-1.474
BNB/USDT,SHORT,2026-05-18 20:00:00+00:00,643.24,2026-05-19 00:00:00+00:00,642.79,SIGNAL_FLIP,0.07,-0.23
