symbol,side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct_gross,pnl_pct_net
XRP/USDT,LONG,2024-07-24 12:00:00+00:00,0.6244956851005554,2024-07-25 20:00:00+00:00,0.5945269380296979,STOP_LOSS,-4.799,-5.099
XRP/USDT,LONG,2024-07-26 16:00:00+00:00,0.6004732251167297,2024-07-29 00:00:00+00:00,0.6066391468048096,SIGNAL_FLIP,1.027,0.727
XRP/USDT,LONG,2024-07-29 04:00:00+00:00,0.6101732850074768,2024-07-29 12:00:00+00:00,0.5989798903465271,SIGNAL_FLIP,-1.834,-2.134
XRP/USDT,LONG,2024-07-29 16:00:00+00:00,0.6054359078407288,2024-07-31 00:00:00+00:00,0.641021158014025,TAKE_PROFIT,5.878,5.578
XRP/USDT,LONG,2024-07-31 00:00:00+00:00,0.6494216918945312,2024-08-01 00:00:00+00:00,0.6229338135038104,STOP_LOSS,-4.079,-4.379
XRP/USDT,LONG,2024-08-01 00:00:00+00:00,0.6113151907920837,2024-08-01 16:00:00+00:00,0.5798938870429993,STOP_LOSS,-5.14,-5.44
XRP/USDT,SHORT,2024-08-04 12:00:00+00:00,0.5284249186515808,2024-08-05 00:00:00+00:00,0.4703399198395865,TAKE_PROFIT,10.992,10.692
XRP/USDT,SHORT,2024-08-05 00:00:00+00:00,0.47659072279930115,2024-08-05 12:00:00+00:00,0.4897214472293854,SIGNAL_FLIP,-2.755,-3.055
XRP/USDT,LONG,2024-08-07 20:00:00+00:00,0.6008485555648804,2024-08-11 20:00:00+00:00,0.5525233830724444,STOP_LOSS,-8.043,-8.343
XRP/USDT,LONG,2024-08-15 00:00:00+00:00,0.5720390677452087,2024-08-15 16:00:00+00:00,0.5560431054660252,STOP_LOSS,-2.796,-3.096
XRP/USDT,LONG,2024-08-19 04:00:00+00:00,0.5736748576164246,2024-08-19 16:00:00+00:00,0.5937459724290031,TAKE_PROFIT,3.499,3.199
XRP/USDT,LONG,2024-08-19 16:00:00+00:00,0.602975606918335,2024-08-23 04:00:00+00:00,0.5994089245796204,SIGNAL_FLIP,-0.592,-0.892
XRP/USDT,LONG,2024-08-23 16:00:00+00:00,0.6077564358711243,2024-08-26 00:00:00+00:00,0.5945055314472744,STOP_LOSS,-2.18,-2.48
